id,Year,Player,Year Position,Career Position,Age,Ht:ins,Ht:cm,Wt:lbs,Wt:kgs,DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Seasom,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
2,2010,Aaron Brooks,PG,G,25,Jun-00,183,161,73,161,69,14,215,54,434,1604,575,1331,0.432,0.511,209,525,0.398,366,806,0.454,245,298,0.822,232,199,82,82,2919,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,16
3,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,58,34,3,78,20,233,634,220,587,0.375,0.434,70,236,0.297,150,351,0.427,124,140,0.886,99,115,59,12,1284,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,13.1
4,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,40,21,2,51,11,129,394,134,387,0.346,0.408,48,169,0.284,86,218,0.394,78,83,0.94,55,69,34,7,811,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.7
5,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,18,13,1,27,9,104,240,86,200,0.43,0.485,22,67,0.328,64,133,0.481,46,57,0.807,44,46,25,5,473,PHO,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,15.6
6,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,67,30,10,80,13,114,376,143,316,0.453,0.532,50,134,0.373,93,182,0.511,40,52,0.769,67,94,53,20,997,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.8
7,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,66,29,7,78,12,108,366,139,303,0.459,0.538,48,127,0.378,91,176,0.517,40,52,0.769,63,89,46,20,959,SAC,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.1
8,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,1,1,3,2,1,6,10,4,13,0.308,0.385,2,7,0.286,2,6,0.333,0,0,,4,5,7,0,38,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,5.6
9,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,97,52,13,140,43,233,645,233,581,0.401,0.484,96,248,0.387,137,333,0.411,83,95,0.874,117,146,72,12,1557,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.5
10,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,39,25,6,62,23,83,299,104,263,0.395,0.498,54,132,0.409,50,131,0.382,37,44,0.841,51,76,43,0,716,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.9
11,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,58,27,7,78,20,150,346,129,318,0.406,0.472,42,116,0.362,87,202,0.431,46,51,0.902,66,70,29,12,841,DEN,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.9
20,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,61,9,11,106,45,22,104,42,82,0.512,0.512,0,0,,42,82,0.512,20,28,0.714,18,54,32,0,311,TOT,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,16.6
21,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,11,0,0,16,5,2,18,8,21,0.381,0.381,0,0,,8,21,0.381,2,7,0.286,1,10,8,0,50,CHI,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7
22,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,50,9,11,90,40,20,86,34,61,0.557,0.557,0,0,,34,61,0.557,18,21,0.857,17,44,24,0,261,NOH,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,18.4
23,2011,Aaron Gray,C,C,26,Jul-00,213,270,122,112,11,12,171,59,16,129,56,99,0.566,0.566,0,0,,56,99,0.566,17,34,0.5,32,96,41,6,531,NOH,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,11
24,2012,Aaron Gray,C,C,27,Jul-00,213,270,122,198,22,17,281,83,27,191,83,161,0.516,0.516,0,0,,83,161,0.516,25,47,0.532,51,127,49,40,813,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,11.1
25,2013,Aaron Gray,C,C,28,Jul-00,213,270,122,85,7,5,133,48,33,119,48,90,0.533,0.533,0,0,,48,90,0.533,23,44,0.523,36,85,42,16,513,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,9
26,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,69,10,8,111,42,22,65,27,61,0.443,0.443,0,1,0,27,60,0.45,11,20,0.55,31,64,37,6,355,TOT,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.8
27,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,5,0,0,8,3,3,5,2,3,0.667,0.667,0,0,,2,3,0.667,1,2,0.5,4,7,4,0,20,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,5.7
28,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,64,10,8,103,39,19,60,25,58,0.431,0.431,0,1,0,25,57,0.439,10,18,0.556,27,57,33,6,335,SAC,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.9
85,2010,Acie Law,PG,G,25,3-Jun,190,195,88,14,11,1,17,3,26,113,35,75,0.467,0.5,5,16,0.313,30,59,0.508,38,49,0.776,17,16,26,1,234,TOT,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,16
86,2010,Acie Law,PG,G,25,3-Jun,190,195,88,2,6,0,2,0,7,31,9,14,0.643,0.679,1,3,0.333,8,11,0.727,12,15,0.8,2,5,5,0,66,GSW,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,21.3
87,2010,Acie Law,PG,G,25,3-Jun,190,195,88,1,1,1,1,0,3,16,5,16,0.313,0.313,0,1,0,5,15,0.333,6,7,0.857,3,3,9,0,33,CHA,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,7.5
88,2010,Acie Law,PG,G,25,3-Jun,190,195,88,11,4,0,14,3,16,66,21,45,0.467,0.511,4,12,0.333,17,33,0.515,20,27,0.741,12,8,12,1,135,CHI,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,15.4
89,2011,Acie Law,PG,G,26,3-Jun,190,195,88,51,32,0,63,12,84,215,81,186,0.435,0.452,6,36,0.167,75,150,0.5,47,64,0.734,43,61,51,0,726,TOT,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,9.9
90,2011,Acie Law,PG,G,26,3-Jun,190,195,88,8,4,0,11,3,14,12,3,19,0.158,0.158,0,6,0,3,13,0.231,6,10,0.6,10,10,11,0,94,MEM,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,0.4
91,2011,Acie Law,PG,G,26,3-Jun,190,195,88,43,28,0,52,9,70,203,78,167,0.467,0.485,6,30,0.2,72,137,0.526,41,54,0.759,33,51,40,0,632,GSW,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,11.3
108,2010,Adam Morrison,SF,F,25,8-Jun,203,205,92,22,3,2,32,10,18,74,32,85,0.376,0.406,5,21,0.238,27,64,0.422,5,8,0.625,10,17,31,0,241,LAL,1984,19-Jul-84,Glendive,Montana,Gonzaga University,Gonzaga University,7.4
125,2014,Adonis Thomas,SF,F,20,7-Jun,201,200,90,3,0,0,3,0,3,14,6,14,0.429,0.464,1,5,0.2,5,9,0.556,1,1,1,1,6,6,1,37,TOT,1993,25-Mar-93,Memphis,Tennessee,University of Memphis,University of Memphis,7.3
126,2014,Adonis Thomas,SF,F,20,7-Jun,201,200,90,3,0,0,3,0,2,7,3,9,0.333,0.333,0,3,0,3,6,0.5,1,1,1,0,2,4,0,24,ORL,1993,25-Mar-93,Memphis,Tennessee,University of Memphis,University of Memphis,5.8
127,2014,Adonis Thomas,SF,F,20,7-Jun,201,200,90,0,0,0,0,0,1,7,3,5,0.6,0.7,1,2,0.5,2,3,0.667,0,0,,1,4,2,1,13,PHI,1993,25-Mar-93,Memphis,Tennessee,University of Memphis,University of Memphis,10.1
209,2010,Al Horford,C,C-F,23,10-Jun,208,245,111,563,59,91,799,236,189,1148,467,847,0.551,0.552,1,1,1,466,846,0.551,213,270,0.789,122,225,81,81,2845,ATL,1986,3-Jun-86,Puerto Plata,Dominican Republic,University of Florida,University of Florida,19.4
210,2011,Al Horford,C,C-F,24,10-Jun,208,245,111,536,59,80,718,182,266,1178,513,921,0.557,0.558,2,4,0.5,511,917,0.557,150,188,0.798,119,193,77,77,2704,ATL,1986,3-Jun-86,Puerto Plata,Dominican Republic,University of Florida,University of Florida,20.7
211,2012,Al Horford,C,C-F,25,10-Jun,208,245,111,51,10,14,77,26,24,136,57,103,0.553,0.553,0,1,0,57,102,0.559,22,30,0.733,16,21,11,11,348,ATL,1986,3-Jun-86,Puerto Plata,Dominican Republic,University of Florida,University of Florida,19
212,2013,Al Horford,C,C-F,26,10-Jun,208,245,111,562,78,78,757,195,240,1289,576,1060,0.543,0.545,3,6,0.5,573,1054,0.544,134,208,0.644,147,163,74,74,2756,ATL,1986,3-Jun-86,Puerto Plata,Dominican Republic,University of Florida,University of Florida,19.8
213,2014,Al Horford,C,C-F,27,10-Jun,208,245,111,178,27,44,244,66,76,538,238,420,0.567,0.571,4,11,0.364,234,409,0.572,58,85,0.682,64,56,29,29,958,ATL,1986,3-Jun-86,Puerto Plata,Dominican Republic,University of Florida,University of Florida,22
228,2010,Al Thornton,SF,F,26,8-Jun,203,220,99,178,45,35,294,116,90,804,320,676,0.473,0.482,11,31,0.355,309,645,0.479,153,211,0.725,102,206,75,46,2079,TOT,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,11.8
229,2010,Al Thornton,SF,F,26,8-Jun,203,220,99,107,25,22,192,85,61,548,220,460,0.478,0.484,5,14,0.357,215,446,0.482,103,139,0.741,66,144,51,30,1405,LAC,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,11.6
230,2010,Al Thornton,SF,F,26,8-Jun,203,220,99,71,20,13,102,31,29,256,100,216,0.463,0.477,6,17,0.353,94,199,0.472,50,72,0.694,36,62,24,16,674,WAS,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,12.1
231,2011,Al Thornton,SF-PF,F,27,8-Jun,203,220,99,157,35,12,213,56,62,524,205,431,0.476,0.48,4,26,0.154,201,405,0.496,110,142,0.775,64,143,71,23,1383,TOT,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,11.7
232,2011,Al Thornton,SF,F,27,8-Jun,203,220,99,110,28,9,156,46,51,393,154,327,0.471,0.477,4,25,0.16,150,302,0.497,81,107,0.757,44,103,49,23,1069,WAS,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,11.8
233,2011,Al Thornton,PF,F,27,8-Jun,203,220,99,47,7,3,57,10,11,131,51,104,0.49,0.49,0,1,0,51,103,0.495,29,35,0.829,20,40,22,0,314,GSW,1983,7-Dec-83,Perry,Georgia,Florida State University,Florida State University,11.3
250,2011,Al-Farouq Aminu,SF,F,20,9-Jun,206,220,99,192,59,25,267,75,60,457,160,406,0.394,0.45,45,143,0.315,115,263,0.437,92,119,0.773,103,121,81,14,1452,LAC,1990,21-Sep-90,Atlanta,Georgia,Wake Forest University,Wake Forest University,9.6
251,2012,Al-Farouq Aminu,SF,F,21,9-Jun,206,220,99,213,59,34,308,95,66,399,150,365,0.411,0.429,13,47,0.277,137,318,0.431,86,114,0.754,91,136,66,21,1477,NOH,1990,21-Sep-90,Atlanta,Georgia,Wake Forest University,Wake Forest University,10.6
252,2013,Al-Farouq Aminu,SF,F,22,9-Jun,206,220,99,446,92,51,585,139,103,555,225,474,0.475,0.479,4,19,0.211,221,455,0.486,101,137,0.737,116,153,76,71,2066,NOH,1990,21-Sep-90,Atlanta,Georgia,Wake Forest University,Wake Forest University,13.7
253,2014,Al-Farouq Aminu,SF,F,23,9-Jun,206,220,99,367,82,38,496,129,114,572,234,494,0.474,0.487,13,48,0.271,221,446,0.496,91,137,0.664,88,147,80,65,2045,NOP,1990,21-Sep-90,Atlanta,Georgia,Wake Forest University,Wake Forest University,13.2
268,2012,Alan Anderson,SF,G-F,29,6-Jun,198,220,99,26,5,3,34,8,26,163,55,142,0.387,0.472,24,61,0.393,31,81,0.383,29,34,0.853,25,35,17,12,461,TOR,1982,16-Oct-82,Minneapolis,Minnesota,Michigan State University,Michigan State University,8.7
269,2013,Alan Anderson,SF,G-F,30,6-Jun,198,220,99,114,48,7,148,34,103,693,236,616,0.383,0.46,95,285,0.333,141,331,0.426,126,147,0.857,80,131,65,2,1495,TOR,1982,16-Oct-82,Minneapolis,Minnesota,Michigan State University,Michigan State University,12.6
270,2014,Alan Anderson,SF,G-F,31,6-Jun,198,220,99,135,48,11,175,40,81,564,194,485,0.4,0.487,84,248,0.339,110,237,0.464,92,118,0.78,62,147,78,26,1773,BRK,1982,16-Oct-82,Minneapolis,Minnesota,Michigan State University,Michigan State University,9.5
296,2010,Alando Tucker,SF,F,25,6-Jun,203,205,86,4,0,0,10,6,4,51,17,39,0.436,0.449,1,7,0.143,16,32,0.5,16,21,0.762,5,6,15,0,96,TOT,1943,11-Feb-84,Dayton,Ohio,Oklahoma Baptist University,University of Wisconsin,13.4
297,2010,Alando Tucker,SF,F,25,6-Jun,203,205,86,2,0,0,7,5,3,43,13,30,0.433,0.45,1,7,0.143,12,23,0.522,16,21,0.762,4,5,11,0,71,PHO,1943,11-Feb-84,Dayton,Ohio,Oklahoma Baptist University,University of Wisconsin,15.7
298,2010,Alando Tucker,SF,F,25,6-Jun,203,205,86,2,0,0,3,1,1,8,4,9,0.444,0.444,0,0,,4,9,0.444,0,0,,1,1,4,0,25,MIN,1943,11-Feb-84,Dayton,Ohio,Oklahoma Baptist University,University of Wisconsin,6.9
308,2012,Alec Burks,SG,G,20,6-Jun,198,214,97,75,27,5,132,57,55,425,153,357,0.429,0.45,15,45,0.333,138,312,0.442,104,143,0.727,51,84,59,0,939,UTA,1991,20-Jul-91,Grandview,Missouri,University of Colorado,University of Colorado,14
309,2013,Alec Burks,SG,G,21,6-Jun,198,214,97,108,35,13,145,37,92,451,163,388,0.42,0.463,33,92,0.359,130,296,0.439,92,129,0.713,74,114,64,0,1137,UTA,1991,20-Jul-91,Grandview,Missouri,University of Colorado,University of Colorado,11.5
310,2014,Alec Burks,SG,G,22,6-Jun,198,214,97,198,69,14,257,59,212,1089,380,831,0.457,0.487,50,143,0.35,330,688,0.48,279,373,0.748,149,190,78,12,2193,UTA,1991,20-Jul-91,Grandview,Missouri,University of Colorado,University of Colorado,15.8
329,2014,Alex Len,C,C,20,1-Jul,216,260,117,60,4,18,99,39,4,86,33,78,0.423,0.423,0,0,,33,78,0.423,20,31,0.645,26,68,42,3,362,PHO,1993,16-Jun-93,Antratsit,Ukraine,University of Maryland,University of Maryland,7.3
368,2014,Allen Crabbe,SG,G-F,21,6-Jun,198,210,95,8,2,1,9,1,6,33,12,33,0.364,0.455,6,14,0.429,6,19,0.316,3,4,0.75,3,10,15,0,100,POR,1992,9-Apr-92,Los Angeles,California,University of California,University of California,7.7
387,2010,Alonzo Gee,SG,G,22,6-Jun,198,225,102,18,7,1,33,15,7,81,28,59,0.475,0.534,7,9,0.778,21,50,0.42,18,29,0.621,10,13,11,2,182,WAS,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,16.2
388,2011,Alonzo Gee,SG,G,23,6-Jun,198,225,102,120,40,18,182,62,38,331,121,264,0.458,0.491,17,51,0.333,104,213,0.488,72,92,0.783,55,94,56,34,1118,TOT,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,10.8
389,2011,Alonzo Gee,SG,G,23,6-Jun,198,225,102,1,0,2,3,2,0,2,1,3,0.333,0.333,0,0,,1,3,0.333,0,0,,3,3,5,0,18,SAS,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,-2.1
390,2011,Alonzo Gee,SG,G,23,6-Jun,198,225,102,11,7,0,22,11,5,32,12,27,0.444,0.444,0,2,0,12,25,0.48,8,12,0.667,8,10,11,5,127,WAS,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,9.9
391,2011,Alonzo Gee,SG,G,23,6-Jun,198,225,102,108,33,16,157,49,33,297,108,234,0.462,0.498,17,49,0.347,91,185,0.492,64,80,0.8,44,81,40,29,973,CLE,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,11.1
392,2012,Alonzo Gee,SG,G,24,6-Jun,198,225,102,221,83,17,322,101,113,665,227,551,0.412,0.452,44,137,0.321,183,414,0.442,167,212,0.788,114,149,63,31,1827,CLE,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,13.2
393,2013,Alonzo Gee,SF,G,25,6-Jun,198,225,102,245,107,29,320,75,133,842,305,744,0.41,0.456,69,219,0.315,236,525,0.45,163,205,0.795,132,199,82,82,2541,CLE,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,10.5
394,2014,Alonzo Gee,SF,G,26,6-Jun,198,225,102,114,39,15,149,35,47,258,98,236,0.415,0.456,19,58,0.328,79,178,0.444,43,61,0.705,44,96,65,24,1020,CLE,1987,29-May-87,Riviera Beach,Florida,University of Alabama,University of Alabama,8.6
477,2013,Andre Drummond,C,C,19,11-Jun,211,279,126,288,59,95,457,169,30,476,208,342,0.608,0.61,1,2,0.5,207,340,0.609,59,159,0.371,57,144,60,10,1243,DET,1993,10-Aug-93,Mount Vernon,New York,University of Connecticut,University of Connecticut,21.6
478,2014,Andre Drummond,C,C,20,11-Jun,211,279,126,631,101,131,1071,440,35,1095,479,769,0.623,0.623,0,2,0,479,767,0.625,137,328,0.418,110,273,81,81,2619,DET,1993,10-Aug-93,Mount Vernon,New York,University of Connecticut,University of Connecticut,22.6
483,2012,Andre Emmett,SF,F,29,5-Jun,196,230,104,4,2,1,6,2,1,13,4,7,0.571,0.571,0,1,0,4,6,0.667,5,8,0.625,2,2,6,0,45,NJN,1982,27-Aug-82,Dallas,Texas,Texas Tech University,Texas Tech University,13.3
489,2010,Andre Iguodala,SF,G-F,26,6-Jun,198,215,97,447,141,55,529,82,472,1401,496,1120,0.443,0.485,94,303,0.31,402,817,0.492,315,430,0.733,218,145,82,82,3193,PHI,1984,28-Jan-84,Springfield,Illinois,University of Arizona,University of Arizona,17.8
490,2011,Andre Iguodala,SF,G-F,27,6-Jun,198,215,97,326,101,38,387,61,422,945,338,759,0.445,0.486,61,181,0.337,277,578,0.479,208,300,0.693,138,109,67,67,2469,PHI,1984,28-Jan-84,Springfield,Illinois,University of Arizona,University of Arizona,17.2
491,2012,Andre Iguodala,SF,G-F,28,6-Jun,198,215,97,325,107,30,381,56,339,771,287,632,0.454,0.514,76,193,0.394,211,439,0.481,121,196,0.617,115,92,62,62,2209,PHI,1984,28-Jan-84,Springfield,Illinois,University of Arizona,University of Arizona,17.6
492,2013,Andre Iguodala,SG,G-F,29,6-Jun,198,215,97,341,139,52,423,82,433,1038,396,879,0.451,0.502,91,287,0.317,305,592,0.515,155,270,0.574,206,127,80,80,2779,DEN,1984,28-Jan-84,Springfield,Illinois,University of Arizona,University of Arizona,15.2
493,2014,Andre Iguodala,SF,G-F,30,6-Jun,198,215,97,240,95,18,293,53,263,588,220,458,0.48,0.548,62,175,0.354,158,283,0.558,86,132,0.652,100,103,63,63,2040,GSW,1984,28-Jan-84,Springfield,Illinois,University of Arizona,University of Arizona,13.7
512,2010,Andre Miller,PG,G,33,3-Jun,206,200,102,185,93,9,266,81,445,1146,404,908,0.445,0.454,16,80,0.2,388,828,0.469,322,392,0.821,173,169,82,66,2500,POR,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,18.1
513,2011,Andre Miller,PG,G,34,3-Jun,206,200,102,205,114,12,302,97,566,1029,388,844,0.46,0.462,4,37,0.108,384,807,0.476,249,292,0.853,197,171,81,81,2650,POR,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,17.8
514,2012,Andre Miller,SG,G,35,3-Jun,206,200,102,168,63,9,221,53,441,639,242,552,0.438,0.455,18,83,0.217,224,469,0.478,137,169,0.811,177,133,66,7,1809,DEN,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,14.8
515,2013,Andre Miller,PG,G,36,3-Jun,206,200,102,178,73,11,238,60,484,786,303,632,0.479,0.493,17,64,0.266,286,568,0.504,163,194,0.84,172,159,82,11,2151,DEN,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,15.7
516,2014,Andre Miller,SG,G,37,3-Jun,206,200,102,102,34,9,130,28,197,283,106,231,0.459,0.483,11,21,0.524,95,210,0.452,60,77,0.779,61,75,58,2,982,TOT,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,13.9
517,2014,Andre Miller,SG,G,37,3-Jun,206,200,102,57,15,7,73,16,100,176,66,144,0.458,0.49,9,18,0.5,57,126,0.452,35,47,0.745,33,32,30,2,570,DEN,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,13.4
518,2014,Andre Miller,SG,G,37,3-Jun,206,200,102,45,19,2,57,12,97,107,40,87,0.46,0.471,2,3,0.667,38,84,0.452,25,30,0.833,28,43,28,0,412,WAS,1971,19-Mar-76,Benton Harbor,Michigan,Michigan State University,University of Utah,14.6
530,2014,Andre Roberson,SG,G-F,22,7-Jun,196,210,83,58,19,10,94,36,15,75,33,68,0.485,0.5,2,13,0.154,31,55,0.564,7,10,0.7,19,74,40,16,399,OKC,1955,4-Dec-91,Chattanooga,Tennessee,Oral Roberts University,University of Colorado,9
556,2010,Andrew Bogut,C,C,25,Jul-00,213,260,117,493,39,175,701,208,127,1095,473,910,0.52,0.52,0,2,0,473,908,0.521,149,237,0.629,131,222,69,69,2229,MIL,1984,28-Nov-84,Melbourne,Australia,University of Utah,University of Utah,20.7
557,2011,Andrew Bogut,C,C,26,Jul-00,213,260,117,521,47,168,720,199,131,830,367,742,0.495,0.495,0,4,0,367,738,0.497,96,217,0.442,125,217,65,65,2297,MIL,1984,28-Nov-84,Melbourne,Australia,University of Utah,University of Utah,16.7
558,2012,Andrew Bogut,C,C,27,Jul-00,213,260,117,78,12,24,100,22,31,136,61,136,0.449,0.449,0,1,0,61,135,0.452,14,23,0.609,24,36,12,12,364,MIL,1984,28-Nov-84,Melbourne,Australia,University of Utah,University of Utah,14.9
559,2013,Andrew Bogut,C,C,28,Jul-00,213,260,117,177,20,55,245,68,67,186,83,184,0.451,0.454,1,1,1,82,183,0.448,19,38,0.5,35,85,32,32,786,GSW,1984,28-Nov-84,Melbourne,Australia,University of Utah,University of Utah,13.8
560,2014,Andrew Bogut,C,C,29,Jul-00,213,260,117,489,47,121,671,182,112,492,235,375,0.627,0.627,0,0,,235,375,0.627,22,64,0.344,97,210,67,67,1769,GSW,1984,28-Nov-84,Melbourne,Australia,University of Utah,University of Utah,17
580,2012,Andrew Goudelock,SG,G,23,3-Jun,190,200,90,26,4,0,31,5,20,175,68,174,0.391,0.471,28,75,0.373,40,99,0.404,11,12,0.917,21,32,40,0,419,LAL,1988,7-Dec-88,Gainesville,Georgia,College of Charleston,College of Charleston,8.4
581,2013,Andrew Goudelock,SG,G,24,3-Jun,190,200,90,0,0,0,1,1,0,0,0,2,0,0,0,0,,0,2,0,0,0,,0,0,1,0,6,LAL,1988,7-Dec-88,Gainesville,Georgia,College of Charleston,College of Charleston,-6.4
600,2013,Andrew Nicholson,PF,F,23,9-Jun,206,250,113,189,24,32,258,69,44,587,256,486,0.527,0.527,0,0,,256,486,0.527,75,94,0.798,79,133,75,28,1249,ORL,1989,8-Dec-89,Mississauga,Canada,St. Bonaventure University,St. Bonaventure University,15.1
601,2014,Andrew Nicholson,PF,F,24,9-Jun,206,250,113,202,18,23,255,53,25,435,180,420,0.429,0.462,28,89,0.315,152,331,0.459,47,57,0.825,51,150,76,5,1174,ORL,1989,8-Dec-89,Mississauga,Canada,St. Bonaventure University,St. Bonaventure University,9.9
623,2011,Andy Rautins,SG,G,24,4-Jun,193,190,86,1,1,0,1,0,3,8,3,7,0.429,0.5,1,4,0.25,2,3,0.667,1,2,0.5,7,0,5,0,24,NYK,1986,2-Nov-86,Syracuse,New York,Syracuse University,Syracuse University,-1.2
658,2010,Antawn Jamison,PF,F,33,8-Jun,203,223,101,419,71,21,555,136,84,1235,478,1036,0.461,0.502,85,247,0.344,393,789,0.498,194,300,0.647,91,179,66,64,2406,TOT,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,17.3
659,2010,Antawn Jamison,PF,F,33,8-Jun,203,223,101,263,43,9,362,99,52,840,315,700,0.45,0.491,58,168,0.345,257,532,0.483,152,217,0.7,61,112,41,41,1595,WAS,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,17.5
660,2010,Antawn Jamison,PF,F,33,8-Jun,203,223,101,156,28,12,193,37,32,395,163,336,0.485,0.525,27,79,0.342,136,257,0.529,42,83,0.506,30,67,25,23,811,CLE,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,16.7
661,2011,Antawn Jamison,PF,F,34,8-Jun,203,223,101,289,50,30,375,86,93,1010,374,876,0.427,0.479,91,263,0.346,283,613,0.462,171,234,0.731,77,137,56,38,1842,CLE,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,16.8
662,2012,Antawn Jamison,PF,F,35,8-Jun,203,223,101,285,51,43,408,123,131,1118,421,1044,0.403,0.447,91,267,0.341,330,777,0.425,185,271,0.683,90,164,65,65,2151,CLE,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,16.1
663,2013,Antawn Jamison,PF,F,36,8-Jun,203,223,101,253,30,22,362,109,50,712,267,575,0.464,0.537,84,233,0.361,183,342,0.535,94,136,0.691,53,124,76,6,1636,LAL,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,15.3
664,2014,Antawn Jamison,PF,F,37,8-Jun,203,223,101,46,9,3,55,9,7,84,29,92,0.315,0.359,8,41,0.195,21,51,0.412,18,25,0.72,7,29,22,0,248,LAC,1976,12-Jun-76,Shreveport,Louisiana,University of North Carolina,University of North Carolina,7.8
673,2014,Anthony Bennett,PF,F,20,8-Jun,203,245,111,106,21,8,155,49,17,217,80,225,0.356,0.384,13,53,0.245,67,172,0.39,44,69,0.638,47,93,52,0,663,CLE,1993,14-Mar-93,Toronto,Canada,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",6.9
705,2010,Anthony Carter,PG,G,34,1-Jun,185,190,86,72,39,13,89,17,160,180,76,181,0.42,0.467,17,63,0.27,59,118,0.5,11,13,0.846,58,72,54,7,859,DEN,1975,16-Jun-75,Milwaukee,Wisconsin,University of Hawaii,University of Hawaii,10.3
706,2011,Anthony Carter,PG,G,35,1-Jun,185,190,86,44,27,6,51,7,69,110,45,106,0.425,0.481,12,40,0.3,33,66,0.5,8,8,1,39,49,33,0,463,TOT,1975,16-Jun-75,Milwaukee,Wisconsin,University of Hawaii,University of Hawaii,9.2
707,2011,Anthony Carter,PG,G,35,1-Jun,185,190,86,12,9,1,12,0,26,26,10,30,0.333,0.4,4,12,0.333,6,18,0.333,2,2,1,14,19,14,0,153,DEN,1975,16-Jun-75,Milwaukee,Wisconsin,University of Hawaii,University of Hawaii,5.4
