id,Year,Player,Year Position,Career Position,Age,Ht:ins,Ht:cm,Wt:lbs,Wt:kgs,DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Seasom,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
16319,2012,Sam Young,SF,F,26,6-Jun,198,220,99,42,17,6,62,20,15,114,45,127,0.354,0.374,5,17,0.294,40,110,0.364,19,26,0.731,16,23,35,2,375,TOT,1985,1-Jun-85,Washington,District of Columbia,University of Pittsburgh,University of Pittsburgh,9.7
16320,2012,Sam Young,SF,F,26,6-Jun,198,220,99,27,11,2,41,14,9,74,32,83,0.386,0.386,0,9,0,32,74,0.432,10,12,0.833,9,12,21,2,240,MEM,1985,1-Jun-85,Washington,District of Columbia,University of Pittsburgh,University of Pittsburgh,10.6
16321,2012,Sam Young,SF,F,26,6-Jun,198,220,99,15,6,4,21,6,6,40,13,44,0.295,0.352,5,8,0.625,8,36,0.222,9,14,0.643,7,11,14,0,135,PHI,1985,1-Jun-85,Washington,District of Columbia,University of Pittsburgh,University of Pittsburgh,8.2
16322,2013,Sam Young,SG,F,27,6-Jun,198,220,99,97,15,8,123,26,42,155,58,148,0.392,0.446,16,52,0.308,42,96,0.438,23,43,0.535,33,62,56,3,693,IND,1985,1-Jun-85,Washington,District of Columbia,University of Pittsburgh,University of Pittsburgh,7.5
16333,2011,Samardo Samuels,PF,F,22,9-Jun,206,260,117,83,15,18,158,75,17,288,110,241,0.456,0.456,0,3,0,110,238,0.462,68,110,0.618,53,88,37,10,701,CLE,1989,9-Jan-89,Trelawny,Jamaica,University of Louisville,University of Louisville,11.7
16334,2012,Samardo Samuels,C,F,23,9-Jun,206,260,117,117,20,20,180,63,20,292,105,231,0.455,0.455,0,0,,105,231,0.455,82,117,0.701,56,113,54,0,825,CLE,1989,9-Jan-89,Trelawny,Jamaica,University of Louisville,University of Louisville,11.1
16335,2013,Samardo Samuels,C,F,24,9-Jun,206,260,117,18,3,3,28,10,8,58,22,60,0.367,0.367,0,1,0,22,59,0.373,14,24,0.583,6,30,18,1,196,CLE,1989,9-Jan-89,Trelawny,Jamaica,University of Louisville,University of Louisville,6.2
16343,2010,Samuel Dalembert,C,C,28,11-Jun,211,255,115,545,42,151,784,239,64,667,285,523,0.545,0.545,0,0,,285,523,0.545,97,133,0.729,123,252,82,80,2124,PHI,1981,10-May-81,Port-Au-Prince,Haiti,Seton Hall University,Seton Hall University,16.8
16344,2011,Samuel Dalembert,C,C,29,11-Jun,211,255,115,445,36,116,657,212,67,644,268,567,0.473,0.473,0,2,0,268,565,0.474,108,148,0.73,132,225,80,46,1938,SAC,1981,10-May-81,Port-Au-Prince,Haiti,Seton Hall University,Seton Hall University,14.1
16345,2012,Samuel Dalembert,C,C,30,11-Jun,211,255,115,298,37,111,456,158,33,490,200,395,0.506,0.506,0,1,0,200,394,0.508,90,113,0.796,82,162,65,45,1446,HOU,1981,10-May-81,Port-Au-Prince,Haiti,Seton Hall University,Seton Hall University,16.9
16346,2013,Samuel Dalembert,C,C,31,11-Jun,211,255,115,171,17,53,276,105,21,313,137,253,0.542,0.543,1,1,1,136,252,0.54,38,55,0.691,51,90,47,23,765,MIL,1981,10-May-81,Port-Au-Prince,Haiti,Seton Hall University,Seton Hall University,18.6
16347,2014,Samuel Dalembert,C,C,32,11-Jun,211,255,115,341,41,94,541,200,38,529,214,377,0.568,0.568,0,1,0,214,376,0.569,101,137,0.737,90,210,80,68,1614,DAL,1981,10-May-81,Port-Au-Prince,Haiti,Seton Hall University,Seton Hall University,16.8
16417,2013,Scott Machado,PG,G,22,1-Jun,185,205,92,1,2,0,1,0,6,8,3,6,0.5,0.5,0,1,0,3,5,0.6,2,2,1,8,0,6,0,21,HOU,1990,8-Jun-90,Queens,New York,Iona College,Iona College,6
16487,2014,Scotty Hopson,SG,G,24,7-Jun,201,204,92,0,1,0,0,0,1,1,0,4,0,0,0,2,0,0,2,0,1,2,0.5,0,0,2,0,7,CLE,1989,8-Aug-89,Hopkinsville,Kentucky,University of Tennessee,University of Tennessee,-6.5
16532,2010,Sean Marks,C,F-C,34,10-Jun,208,250,113,9,0,3,23,14,2,10,4,8,0.5,0.5,0,0,,4,8,0.5,2,5,0.4,2,17,14,0,75,NOH,1975,23-Aug-75,Auckland,New Zealand,University of California,University of California,9
16533,2011,Sean Marks,C,F-C,35,10-Jun,208,250,113,24,3,5,40,16,4,45,19,44,0.432,0.455,2,2,1,17,42,0.405,5,8,0.625,11,44,29,0,208,POR,1975,23-Aug-75,Auckland,New Zealand,University of California,University of California,4.9
16537,2010,Sean May,C,F,25,9-Jun,206,266,120,50,12,7,70,20,17,123,51,111,0.459,0.459,0,4,0,51,107,0.477,21,32,0.656,19,46,37,4,331,SAC,1984,4-Apr-84,Chicago,Illinois,University of North Carolina,University of North Carolina,11.7
16559,2010,Sean Williams,PF,C-F,23,10-Jun,208,235,106,25,8,19,46,21,1,52,21,49,0.429,0.429,0,1,0,21,48,0.438,10,19,0.526,20,41,20,0,227,NJN,1986,13-Sep-86,Houston,Texas,Boston College,Boston College,7
16560,2012,Sean Williams,C,C-F,25,10-Jun,208,235,106,12,4,8,25,13,5,40,14,22,0.636,0.636,0,0,,14,22,0.636,12,13,0.923,10,18,11,0,107,TOT,1986,13-Sep-86,Houston,Texas,Boston College,Boston College,18.7
16561,2012,Sean Williams,C,C-F,25,10-Jun,208,235,106,4,1,5,13,9,2,29,12,16,0.75,0.75,0,0,,12,16,0.75,5,6,0.833,7,14,8,0,65,DAL,1986,13-Sep-86,Houston,Texas,Boston College,Boston College,18.8
